파일명,캐릭터,단계,대사,발화보정
nzq9cn.mp3,munch,2,안녕? 만나서 반가워. 나는 화가 '뭉크'라고 해. 나는 '절규'라는 작품을 그리던 중이야. 이 작품에서 중요한 노을 진 하늘을 칠해야 하는데 물감이 말라 버렸어. 비율로 색을 만드는 과학자 먼셀에게 색을 만드는 방법을 찾아달라고 부탁했어. 먼셀을 도와 나의 색을 찾아줄래?,안녕? 만나서 반가워. 나는 화가 뭉크라고 해. 나는 절규라는 작품을 그리던 중이야. 이 작품에서 중요한 노을 진 하늘을 칠해야 하는데 물감이 말라 버렸어. 비율로 색을 만드는 과학자 먼셀에게 색을 만드는 방법을 찾아달라고 부탁했어. 먼셀을 도와 나의 색을 찾아줄래?
y9qpoo.mp3,munsell,5,그럼 어떤 색의 물감이 필요할까? 목표색을 잘 관찰해보고 추측해 봐.,
1ejyh1p.mp3,munsell,6,좋아. 그럼 각각 물감의 양은 얼마나 넣어야 할까?,
19s2fty.mp3,munsell,7,"빨강 20ml씩 넣은 비커 두 개가 있어. 여기에 노랑 물감을 넣어보자. 노랑색 물감을 왼쪽에는 20 밀리리터 , 오른쪽은 60 밀리리터 넣어서 색을 확인해봐.","빨강 20밀리리터씩 넣은 비커 두 개가 있어. 여기에 노랑 물감을 넣어보자. 노랑색 물감을 왼쪽에는 20밀리리터, 오른쪽은 60밀리리터만큼 넣어서 색을 확인해봐."
q62jcs.mp3,munsell,8,과학자는 실험 전에 가설을 세워. 가설은 어떤 것이 맞을 거라고 예상하는 과학자의 생각이야. 실험을 해야 가설이 맞았는지 틀렸는지 알 수 있지. 우리도 목표색을 잘 보고 가설을 세워보자!,
1xz06b1.mp3,signac,18,"안녕? 나는 화가 '시냐크'라고 해. 나는 '뭉크'처럼 물감을 섞지 않고, 점들을 콕콕 찍어 색을 표현해. 내가 원하는 색을 만들기 위해 색 점의 비를 조절하여 찍으면, 멀리서 볼 때 그 점들이 눈에서 섞여 하나의 색이 되거든! 마치 빠르게 회전하면 하나의 색처럼 보이는 회전판처럼 말이야. 회전판을 한번 눌러봐.","안녕? 나는 화가 시냐크라고 해. 나는 뭉크처럼 물감을 섞지 않고, 점들을 콕콕 찍어 색을 표현해. 내가 원하는 색을 만들기 위해 색 점의 비를 조절하여 찍으면, 멀리서 볼 때 그 점들이 눈에서 섞여 하나의 색이 되거든! 마치 빠르게 회전하면 하나의 색처럼 보이는 회전판처럼 말이야. 회전판을 한번 눌러봐."
1gvc0ob.mp3,signac,20,"네가 '먼셀'과 함께 '뭉크'를 도와줬다고 들었어! 정말 대단해. 나도 도와주렴! 나의 그림 「양산을 든 여인」의 양산을 주황색으로 표현하고 싶어! 그런데 나는 다른 화가처럼 물감을 섞어서 만들지 않으니 점을 잘 찍어야 해. 빨강이 2개, 노랑이 3개를 섞은 주황으로 찍어보는 연습을 해보자.",
u40wdw.mp3,signac,21,"이번엔 새로운 주황이야. 빨강 대 노랑을 2 대 3으로, 열 칸에 나타내 줘. 빨강 4칸, 노랑 6칸이야.",
1dbetft.mp3,ratio,25,백 칸 중 빨강이 마흔 칸이에요. 전체에 대한 빨강의 비율은 얼마일까요?,
1grfzkj.mp3,ratio,26,"빨강 40, 노랑 60을 넣어 주황 100 밀리리터를 만들었어요. 각각 몇 퍼센트일까요?",
1lwes90.mp3,munsell,3,반가워. 나는 색깔을 연구하지. 색상환을 만든 먼셀이라고 해. 함께 색을 만들어볼까?,
1m6g1j4.mp3,munsell,4,색을 결정하는 것은 무엇일까? 이 중 두 가지를 찾아봐. 아닌 것도 눌러서 확인해도 좋아.,
19jtk1z.mp3,munsell,9,좋아. 그럼 얼마나 더 많을까? 네 예상에 맞는 것을 골라 봐.,
2pc7k5.mp3,munsell,10,네 가설대로 물감을 넣고 실험하기를 눌러 봐. 목표색이 나올 때까지 도전!,
1un2902.mp3,munsell,11,완벽해. 그런데 이 색과 같은 색을 다른 양으로도 만들 수 있을까? 서로 다른 양으로 두 번 더 만들어 봐.,
1p3y4px.mp3,munsell,13,"그런데 '뭉크'의 조수가 이 색을 만들려고 이렇게 해보고 싶대. 빨강 20에 30을 더하고, 노랑 50에 30을 더해도 같은 양을 더해보고 싶대. 같은 양을 더하니까 같은 색이 될거라고 말이야. 이 말이 정말 맞을까? 빨강 50 노랑 80을 만들어 확인해 보자.","그런데 뭉크의 조수가 이 색을 만들려고 이렇게 해보고 싶대. 빨강 20에 30을 더하고, 노랑 50에 30을 더해도 같은 양을 더해보고 싶대. 같은 양을 더하니까 같은 색이 될거라고 말이야. 이 말이 정말 맞을까? 빨강 50, 노랑 80을 만들어 확인해 보자."
id9nav.mp3,munsell,12,양이 달라도 전부 같은 색이었어. 변하지 않은 것은 무엇일까?,
1r2bnz.mp3,munsell,15,모두 간단히 하면 언제나 2 대 5야. 수첩에는 뭐라고 적을까?,
1vswjtl.mp3,munch,17,찾았다! 바로 이 색이야! 너희 덕분에 그림을 완성했어. 정말 고마워!,
n2xug3.mp3,signac,22,마지막! 백 칸에 도전해 봐. 큰 붓을 쓰면 한 줄씩 칠할 수 있어.,
hpqqo8.mp3,signac,23,고마워! 점을 이만큼 많이 찍었더니 드디어 완성이야. 점의 개수가 늘어나도 빨강과 노랑의 비는 그대로였지!,
1jn9hth.mp3,ratio,28,색깔의 비밀을 모두 찾아냈어요. 정말 대단해요!,
1ic1mfn.mp3,ratio,s1,"안녕하세요! 두 번째 소리의 비밀을 찾으러 오셨군요. 저는 비의 비밀 탐색 안내자 레시오예요. 소리의 높낮이는 공기가 떨리는 빠르기, 곧 진동수로 정해져요. 두 소리가 함께 울릴 때 그 진동수의 비가 간단할수록 더 잘 어울린답니다. 이 방에서는 건반과 줄, 하프를 다루며 잘 어울리는 소리 속에 숨은 비의 비밀을 함께 찾아볼 거예요. 자, 함께 찾아봐요!",
